,0
0,Result.Defeat
1,Result.Defeat
2,Result.Defeat
3,Result.Defeat
4,Result.Defeat
5,Result.Defeat
6,Result.Defeat
7,Result.Defeat
8,Result.Defeat
9,Result.Defeat
